Sector0;180.0;
Sector1;50.08;
Sector2;180.0;
Sector3;178.2;
Sector4;112.65;
Sector5;108.1;
Sector6;171.0;
Sector7;93.47;
Sector8;171.0;
Sector9;178.2;
Sector10;100.3;
Sector11;178.2;
Sector12;64.15;
Sector13;178.2;
Sector14;86.86;
Sector15;191.33;
Sector16;61.42;
Sector17;178.2;
Sector18;181.8;
Sector19;192.6;
Sector20;73.99;
Sector21;192.6;
Sector22;54.2;
Sector23;158.3;
Sector24;143.51;
Sector25;110.37;
Sector26;174.6;
Sector27;81.15;
Sector28;47.2;
Sector29;185.4;
Sector30;174.6;
Sector31;98.27;
Sector32;174.6;
Sector33;192.6;
Sector34;57.78;
Sector35;192.6;
Sector36;185.4;
Sector37;47.2;
Sector38;185.4;
Sector39;185.4;
Sector40;180.0;
Sector41;115.82;
Sector42;110.03;
Sector43;171.0;
Sector44;76.09;
Sector45;171.0;
Sector46;180.0;

